BLE, 109.24, 21.50, 180.00, MDBT40-NO-EXTRAMDBT40-NO-EXTRA, MDBT40-NO-EXTRA
C1, 32.89, 92.20, 270.00, 10uF, C0603
C10, 102.10, 26.19, 90.00, 1uF, C0603
C11, 94.80, 24.41, 90.00, 10uF, C0603
C12, 97.41, 19.65, 0.00, 1uF, C0603
C13, 29.69, 71.59, 180.00, 10uF, C0603
C14, 96.74, 69.06, 90.00, 100nF, C0603
C15, 28.87, 65.63, 270.00, 10uF, C0603
C16, 45.47, 67.49, 0.00, 10uF, C0603
C19, 47.63, 97.18, 0.00, 100nF, C0603
C1_RST, 41.08, 34.38, 90.00, 100nF, C0603
C2, 29.84, 89.15, 90.00, 10uF, C0603
C20, 85.73, 97.18, 0.00, 100nF, C0603
C21, 104.78, 97.18, 0.00, 100nF, C0603
C22, 123.83, 97.18, 0.00, 100nF, C0603
C23, 142.88, 97.18, 0.00, 100nF, C0603
C24, 161.93, 97.18, 0.00, 100nF, C0603
C25, 180.98, 97.18, 0.00, 100nF, C0603
C26, 200.03, 97.18, 0.00, 100nF, C0603
C27, 219.08, 96.89, 0.00, 100nF, C0603
C28, 257.18, 96.89, 0.00, 100nF, C0603
C29, 277.42, 67.57, 90.00, 100nF, C0603
C3, 31.18, 89.15, 90.00, 1uF, C0603
C30, 277.42, 48.67, 90.00, 100nF, C0603
C31, 259.41, 29.17, 270.00, 100nF, C0603
C32, 221.90, 28.72, 0.00, 100nF, C0603
C33, 203.00, 28.72, 0.00, 100nF, C0603
C34, 184.25, 28.72, 0.00, 100nF, C0603
C35, 164.90, 28.72, 0.00, 100nF, C0603
C36, 145.85, 28.72, 0.00, 100nF, C0603
C37, 127.10, 28.87, 0.00, 100nF, C0603
C38, 107.90, 29.47, 0.00, 100nF, C0603
C39, 85.13, 26.34, 90.00, 100nF, C0603
C4, 32.52, 89.15, 90.00, 100nF, C0603
C40, 50.97, 28.05, 0.00, 100nF, C0603
C41, 21.88, 46.73, 180.00, 100nF, C0603
C42, 23.96, 70.54, 270.00, 100nF, C0603
C43, 36.76, 84.68, 270.00, 10uF, C0603
C44, 38.99, 84.31, 180.00, 10uF, C0603
C45, 38.99, 85.58, 180.00, 10uF, C0603
C5, 30.51, 69.35, 180.00, 100nF, C0603
C6, 38.62, 72.63, 270.00, 1uF, C0603
C7, 37.28, 72.63, 270.00, 1uF, C0603
C8, 45.91, 60.72, 180.00, 12pF, C0603
C9, 45.99, 65.78, 0.00, 12pF, C0603
