', 242.89, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
-, 228.60, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
0, 209.55, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
1, 38.10, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
1U-BS, 266.70, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
2, 57.15, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
3, 76.20, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
4, 95.25, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
5, 114.30, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
6, 133.35, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
7, 152.40, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
8, 171.45, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
9, 190.50, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
=, 247.65, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
A, 52.39, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
ASHIFT, 240.51, 44.89, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
BS, 276.23, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-2U-THTSMDLED-FLIPPED, MX-2U-THTSMDLED-FLIPPED
BS-R, 285.75, 102.04, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
CAPS-STEPPED, 21.43, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
CAPS-TRAD, 26.19, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
D, 90.49, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
DOWN, 266.70, 25.84, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
E, 85.73, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
ENTER-2U, 273.84, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-2U-THTSMDLED-FLIPPED, MX-2U-THTSMDLED-FLIPPED
ESC, 285.75, 44.89, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
F, 109.54, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
G, 128.59, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
H, 147.64, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
I, 180.98, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
J, 166.69, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
K, 185.74, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
L, 204.79, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
LCMD, 69.06, 25.84, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
LCTRL-LSMD1, 22.58, 26.19, 180.00, , SMD-LED-UNIVERSAL-2-PLACEMENTS
LED1, 59.50, 45.24, 0.00, , SMD-LED-UNIVERSAL-DUAL
LED10, 230.95, 45.24, 0.00, , SMD-LED-UNIVERSAL-DUAL
LED2, 78.55, 45.24, 0.00, , SMD-LED-UNIVERSAL-DUAL
LED3, 97.60, 45.24, 0.00, , SMD-LED-UNIVERSAL-DUAL
LED4, 116.65, 45.24, 0.00, , SMD-LED-UNIVERSAL-DUAL
LED5, 135.70, 45.24, 0.00, , SMD-LED-UNIVERSAL-DUAL
LED6, 154.75, 45.24, 0.00, , SMD-LED-UNIVERSAL-DUAL
LED7, 173.80, 45.24, 0.00, , SMD-LED-UNIVERSAL-DUAL
LED8, 192.85, 45.24, 0.00, , SMD-LED-UNIVERSAL-DUAL
LED9, 211.90, 45.24, 0.00, , SMD-LED-UNIVERSAL-DUAL
LEFT, 247.65, 25.84, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
LOPT-LSMD1, 46.46, 26.12, 180.00, , SMD-LED-UNIVERSAL-2-PLACEMENTS
LSHIFT-LSMD, 29.74, 45.19, 180.00, , SMD-LED-UNIVERSAL-2-PLACEMENTS
O, 200.03, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
P, 219.08, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
Q, 47.63, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
R, 104.78, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
RCMD-LSMD, 210.78, 26.20, 180.00, , SMD-LED-UNIVERSAL-2-PLACEMENTS
RIGHT-LSMD, 284.74, 26.23, 180.00, , SMD-LED-UNIVERSAL-2-PLACEMENTS
RMOD1-TRAD, 259.56, 25.84, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
ROPT-1U, 228.60, 25.84, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
ROPT-TRAD, 235.74, 25.84, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
RSHIFT-1U, 247.65, 44.89, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
S, 71.44, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
SEMICOL, 223.84, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
SPACE, 140.49, 25.84, 180.00, KEYSWITCH-THTSMDLED-MX-6.25U-THTSMDLED, MX-6.25U-THTSMDLED
